Round,Constructor,Points,Position
1,Red Bull,44,1
1,Ferrari,27,2
1,Mercedes,16,3
1,McLaren,12,4
1,Aston Martin,3,5
1,Sauber,0,6
1,Haas F1 Team,0,7
1,RB F1 Team,0,8
1,Williams,0,9
1,Alpine F1 Team,0,10
2,Red Bull,87,1
2,Ferrari,49,2
2,McLaren,28,3
2,Mercedes,26,4
2,Aston Martin,13,5
2,Haas F1 Team,1,6
2,Williams,0,7
2,Sauber,0,8
2,RB F1 Team,0,9
2,Alpine F1 Team,0,10
3,Red Bull,97,1
3,Ferrari,93,2
3,McLaren,55,3
3,Mercedes,26,4
3,Aston Martin,25,5
3,RB F1 Team,6,6
3,Haas F1 Team,4,7
3,Williams,0,8
3,Sauber,0,9
3,Alpine F1 Team,0,10
4,Red Bull,141,1
4,Ferrari,120,2
4,McLaren,69,3
4,Mercedes,34,4
4,Aston Martin,33,5
4,RB F1 Team,7,6
4,Haas F1 Team,4,7
4,Williams,0,8
4,Sauber,0,9
4,Alpine F1 Team,0,10
5,Red Bull,195,1
5,Ferrari,151,2
5,McLaren,96,3
5,Mercedes,52,4
5,Aston Martin,40,5
5,RB F1 Team,7,6
5,Haas F1 Team,5,7
5,Williams,0,8
5,Alpine F1 Team,0,9
5,Sauber,0,10
6,Red Bull,239,1
6,Ferrari,187,2
6,McLaren,124,3
6,Mercedes,64,4
6,Aston Martin,42,5
6,RB F1 Team,19,6
6,Haas F1 Team,7,7
6,Alpine F1 Team,1,8
6,Williams,0,9
6,Sauber,0,10
7,Red Bull,268,1
7,Ferrari,212,2
7,McLaren,154,3
7,Mercedes,79,4
7,Aston Martin,44,5
7,RB F1 Team,20,6
7,Haas F1 Team,7,7
7,Alpine F1 Team,1,8
7,Williams,0,9
7,Sauber,0,10
8,Red Bull,276,1
8,Ferrari,252,2
8,McLaren,184,3
8,Mercedes,96,4
8,Aston Martin,44,5
8,RB F1 Team,24,6
8,Haas F1 Team,7,7
8,Williams,2,8
8,Alpine F1 Team,2,9
8,Sauber,0,10
9,Red Bull,301,1
9,Ferrari,252,2
9,McLaren,212,3
9,Mercedes,124,4
9,Aston Martin,58,5
9,RB F1 Team,28,6
9,Haas F1 Team,7,7
9,Alpine F1 Team,5,8
9,Williams,2,9
9,Sauber,0,10
10,Red Bull,330,1
10,Ferrari,270,2
10,McLaren,237,3
10,Mercedes,151,4
10,Aston Martin,58,5
10,RB F1 Team,28,6
10,Alpine F1 Team,8,7
10,Haas F1 Team,7,8
10,Williams,2,9
10,Sauber,0,10
11,Red Bull,355,1
11,Ferrari,291,2
11,McLaren,268,3
11,Mercedes,196,4
11,Aston Martin,58,5
11,RB F1 Team,30,6
11,Haas F1 Team,19,7
11,Alpine F1 Team,9,8
11,Williams,2,9
11,Sauber,0,10
12,Red Bull,373,1
12,Ferrari,302,2
12,McLaren,295,3
12,Mercedes,221,4
12,Aston Martin,68,5
12,RB F1 Team,31,6
12,Haas F1 Team,27,7
12,Alpine F1 Team,9,8
12,Williams,4,9
12,Sauber,0,10
13,Red Bull,389,1
13,McLaren,338,2
13,Ferrari,322,3
13,Mercedes,241,4
13,Aston Martin,69,5
13,RB F1 Team,33,6
13,Haas F1 Team,27,7
13,Alpine F1 Team,9,8
13,Williams,4,9
13,Sauber,0,10
14,Red Bull,408,1
14,McLaren,366,2
14,Ferrari,345,3
14,Mercedes,266,4
14,Aston Martin,73,5
14,RB F1 Team,34,6
14,Haas F1 Team,27,7
14,Alpine F1 Team,11,8
14,Williams,4,9
14,Sauber,0,10
15,Red Bull,434,1
15,McLaren,404,2
15,Ferrari,370,3
15,Mercedes,276,4
15,Aston Martin,74,5
15,RB F1 Team,34,6
15,Haas F1 Team,27,7
15,Alpine F1 Team,13,8
15,Williams,4,9
15,Sauber,0,10
16,Red Bull,446,1
16,McLaren,438,2
16,Ferrari,407,3
16,Mercedes,292,4
16,Aston Martin,74,5
16,RB F1 Team,34,6
16,Haas F1 Team,28,7
16,Alpine F1 Team,13,8
16,Williams,6,9
16,Sauber,0,10
17,McLaren,476,1
17,Red Bull,456,2
17,Ferrari,425,3
17,Mercedes,309,4
17,Aston Martin,82,5
17,RB F1 Team,34,6
17,Haas F1 Team,29,7
17,Williams,16,8
17,Alpine F1 Team,13,9
17,Sauber,0,10
18,McLaren,516,1
18,Red Bull,475,2
18,Ferrari,441,3
18,Mercedes,329,4
18,Aston Martin,86,5
18,RB F1 Team,34,6
18,Haas F1 Team,31,7
18,Williams,16,8
18,Alpine F1 Team,13,9
18,Sauber,0,10
19,McLaren,544,1
19,Red Bull,504,2
19,Ferrari,496,3
19,Mercedes,344,4
19,Aston Martin,86,5
19,Haas F1 Team,38,6
19,RB F1 Team,36,7
19,Williams,17,8
19,Alpine F1 Team,13,9
19,Sauber,0,10
